Order_ID,Date,Customer_ID,Price,Chair,Stool,Table,Cabinet,Dresser,Couch,Bed,Shelf
38621,2010-01-01,8861,1359,0,0,2,0,1,0,0,0
6302,2010-01-01,628,1163,0,3,1,0,0,1,0,0
26783,2010-01-01,2675,4323,0,0,0,0,1,0,2,0
25214,2010-01-02,2517,693,3,0,0,0,0,0,0,2
5225,2010-01-02,517,1151,0,0,1,0,1,0,0,1
3266,2010-01-02,5320,4230,0,0,0,0,0,1,2,0
14517,2010-01-02,6444,992,0,0,2,0,0,0,0,1
32778,2010-01-03,3269,2520,0,0,0,1,0,0,1,1
2009,2010-01-03,5191,1221,3,0,0,1,0,1,0,0
33910,2010-01-03,5329,2647,2,0,0,0,1,0,1,0
338711,2010-01-04,3376,2488,2,0,1,0,0,0,1,0
271612,2010-01-04,7704,4164,0,0,1,0,0,0,2,0
254313,2010-01-04,7530,943,0,0,0,0,1,0,0,2
439614,2010-01-05,9382,963,2,2,0,0,1,0,0,0
108115,2010-01-05,6066,2645,0,3,0,0,0,1,1,0
34516,2010-01-05,5329,1491,0,0,0,0,1,2,0,0
129617,2010-01-06,6279,1064,0,2,1,0,0,1,0,0
344118,2010-01-06,3423,2540,0,0,0,0,0,1,1,1
182219,2010-01-06,1803,1018,6,0,1,0,0,0,0,0
455720,2010-01-06,4537,1334,3,0,0,0,1,1,0,0
468421,2010-01-06,9663,1155,3,0,1,1,0,0,0,0
70322,2010-01-06,5681,2728,0,0,1,1,0,0,1,0
198023,2010-01-06,6957,2121,0,3,0,2,0,2,0,0
128224,2010-01-06,6258,2520,0,0,0,1,0,0,1,1
146025,2010-01-07,6435,2841,0,0,1,0,1,0,1,0
87226,2010-01-07,5846,2474,0,0,1,0,0,0,1,1
200627,2010-01-08,6979,2814,0,0,0,0,0,2,1,0
434528,2010-01-08,4317,2526,0,2,0,1,0,0,1,0
43829,2010-01-08,5409,2520,0,0,0,1,0,0,1,1
27930,2010-01-08,249,2534,2,0,0,1,0,0,1,0
485131,2010-01-10,4820,3956,0,0,0,0,0,0,2,1
306932,2010-01-10,8037,4323,0,0,0,0,1,0,2,0
101233,2010-01-10,979,1550,0,0,0,2,0,1,0,1
208134,2010-01-10,2047,850,0,0,0,0,0,1,0,2
329235,2010-01-11,8257,2480,0,2,1,0,0,0,1,0
168036,2010-01-11,1644,5646,0,0,0,0,0,0,3,0
61137,2010-01-12,574,1322,0,3,0,0,1,1,0,0
169138,2010-01-12,1653,1984,0,0,1,0,2,1,0,0
291739,2010-01-12,7878,1072,2,0,1,0,0,1,0,0
384040,2010-01-12,3800,699,3,2,0,0,0,0,0,1
487941,2010-01-12,9838,1157,0,2,1,0,1,0,0,0
166542,2010-01-12,6623,2554,2,0,0,0,0,1,1,0
473443,2010-01-12,9691,2474,0,0,1,0,0,0,1,1
31244,2010-01-12,268,967,3,0,0,0,0,1,0,1
212045,2010-01-14,2075,2756,0,0,0,2,0,4,0,0
14146,2010-01-14,5095,1060,0,6,0,0,0,1,0,0
257747,2010-01-15,7530,2738,0,3,0,0,1,0,1,0
284948,2010-01-15,7801,2266,0,0,0,0,0,0,1,2
170249,2010-01-16,1653,1038,0,0,1,1,0,0,0,1
371950,2010-01-16,3669,2750,3,0,0,0,1,0,1,0
157851,2010-01-17,1527,2579,0,3,1,0,0,0,1,0
423252,2010-01-17,9180,3956,0,0,0,0,0,0,2,1
137153,2010-01-17,6318,604,4,0,0,0,0,0,0,1
333254,2010-01-17,3278,2887,0,0,0,1,1,0,1,0
86455,2010-01-17,5809,1641,3,0,1,0,0,2,0,0
355856,2010-01-18,8502,1338,0,0,0,3,0,0,0,0
484457,2010-01-18,9787,2637,3,0,0,1,0,0,1,0
136558,2010-01-19,1307,2637,3,0,0,1,0,0,1,0
36459,2010-01-19,5305,4164,0,0,1,0,0,0,2,0
9960,2010-01-19,5039,1104,0,0,0,1,0,1,0,1
494261,2010-01-20,9881,2474,0,0,1,0,0,0,1,1
370862,2010-01-20,8646,2748,0,0,1,0,0,1,1,0
123563,2010-01-20,1172,1312,0,0,1,1,0,1,0,0
246364,2010-01-20,7399,610,4,2,0,0,0,0,0,0
471765,2010-01-20,4652,1710,0,0,1,0,2,0,0,1
476766,2010-01-21,9701,1224,8,0,1,0,0,0,0,0
187867,2010-01-22,6811,1217,0,0,0,0,1,1,0,1
213568,2010-01-22,7067,3892,0,0,0,2,2,0,1,0
62369,2010-01-22,554,798,2,0,1,0,0,0,0,1
489970,2010-01-22,9829,2591,3,0,1,0,0,0,1,0
199171,2010-01-23,1920,4210,0,0,0,1,0,0,2,0
349572,2010-01-23,3423,784,0,0,1,0,0,0,0,2
482473,2010-01-23,4751,1104,0,0,0,1,0,1,0,1
329274,2010-01-24,8218,2794,0,0,0,1,0,1,1,0
105975,2010-01-24,5984,4230,0,0,0,0,0,1,2,0
448176,2010-01-25,9405,2841,0,0,1,0,1,0,1,0
149477,2010-01-25,1417,1084,0,0,0,2,0,0,0,1
244378,2010-01-25,2365,2294,4,0,0,0,0,0,1,0
334679,2010-01-25,3267,3214,0,0,1,0,0,2,1,0
24780,2010-01-25,167,1209,0,3,0,1,0,1,0,0
312181,2010-01-26,3040,2476,0,6,0,0,0,0,1,0
4382,2010-01-26,9961,1378,0,0,0,1,0,2,0,0
237283,2010-01-26,7289,1097,0,3,2,0,0,0,0,0
310784,2010-01-27,3023,2554,2,0,0,0,0,1,1,0
457785,2010-01-27,4492,2814,0,0,0,0,0,2,1,0
319486,2010-01-29,8108,1471,0,0,0,1,1,1,0,0
227487,2010-01-29,7187,1221,3,0,0,1,0,1,0,0
240988,2010-01-29,2321,2272,0,2,0,0,0,0,1,1
320089,2010-01-30,8111,1175,3,0,1,0,0,1,0,0
56990,2010-01-30,5479,2540,0,0,0,0,0,1,1,1
188691,2010-01-31,1795,2657,3,0,0,0,0,1,1,0
410492,2010-01-31,9012,1177,6,0,0,0,1,0,0,0
416293,2010-01-31,9069,2637,3,0,0,1,0,0,1,0
306494,2010-01-31,2970,4164,0,0,1,0,0,0,2,0
46795,2010-02-01,5372,1524,0,0,1,0,0,2,0,1
83896,2010-02-02,5742,2474,0,0,1,0,0,0,1,1
194897,2010-02-02,6851,870,2,2,0,0,0,1,0,0
112698,2010-02-02,6028,1072,2,0,1,0,0,1,0,0
63699,2010-02-02,5537,1221,3,0,0,1,0,1,0,0
2841100,2010-02-03,2741,2657,3,0,0,0,0,1,1,0
1948101,2010-02-03,1847,2657,3,0,0,0,0,1,1,0
1856102,2010-02-03,1754,1197,0,0,0,1,1,0,0,1
339103,2010-02-03,5236,3006,0,0,0,0,0,2,1,1
218104,2010-02-04,114,2500,6,0,0,0,0,0,1,0
2078105,2010-02-05,6973,1109,3,0,2,0,0,0,0,0
2576106,2010-02-05,7470,1312,0,0,1,1,0,1,0,0
2637107,2010-02-05,7530,2657,3,0,0,0,0,1,1,0
630108,2010-02-06,5522,1143,0,3,1,1,0,0,0,0
4053109,2010-02-06,8944,4230,0,0,0,0,0,1,2,0
3709110,2010-02-07,3599,1165,3,3,0,0,1,0,0,0
3524111,2010-02-07,8413,2633,0,0,0,0,1,0,1,1
695112,2010-02-07,583,2488,3,3,0,0,0,0,1,0
4945113,2010-02-08,4832,2088,2,0,0,0,0,0,1,0
3222114,2010-02-08,8108,2728,0,0,1,1,0,0,1,0
487115,2010-02-08,5372,2224,0,0,1,2,0,2,0,0
4608116,2010-02-08,4492,1104,0,0,0,1,0,1,0,1
3389117,2010-02-08,8272,2579,0,3,1,0,0,0,1,0
2750118,2010-02-09,7632,4656,0,0,0,2,0,0,2,0
1111119,2010-02-09,5992,1471,0,0,0,1,1,1,0,0
3845120,2010-02-09,8725,2645,0,3,0,0,0,1,1,0
1488121,2010-02-09,1367,2728,0,0,1,1,0,0,1,0
4532122,2010-02-10,9410,1018,6,0,1,0,0,0,0,0
3163123,2010-02-10,3040,2637,3,0,0,1,0,0,1,0
4263124,2010-02-10,9139,1518,0,0,1,0,2,0,0,0
4732125,2010-02-10,9607,3412,4,0,0,0,2,0,1,0
2052126,2010-02-10,1926,2476,0,0,0,2,2,1,0,0
1030127,2010-02-10,5903,2591,4,3,0,0,0,0,1,0
319128,2010-02-11,5191,4323,0,0,0,0,1,0,2,0
1932129,2010-02-11,1803,2383,3,0,0,0,0,0,1,1
3609130,2010-02-11,3479,2682,0,0,2,0,0,0,1,0
4730131,2010-02-12,9599,1378,0,0,0,1,0,2,0,0
411132,2010-02-12,279,4210,0,0,0,1,0,0,2,0
1681133,2010-02-12,1548,2389,3,2,0,0,0,0,1,0
4314134,2010-02-13,4180,1130,0,2,0,0,0,2,0,0
164135,2010-02-13,5029,2266,0,0,0,0,0,0,1,2
2863136,2010-02-14,2727,1084,6,0,0,0,0,1,0,0
2769137,2010-02-14,2632,780,0,4,0,0,0,0,0,2
4163138,2010-02-15,4025,2546,0,2,0,0,0,1,1,0
4987139,2010-02-15,9848,1405,0,0,1,1,1,0,0,0
2976140,2010-02-15,2836,2383,3,0,0,0,0,0,1,1
837141,2010-02-16,696,2389,3,2,0,0,0,0,1,0
1171142,2010-02-17,6029,927,9,0,0,0,0,0,0,0
3914143,2010-02-17,3771,610,4,2,0,0,0,0,0,0
3183144,2010-02-17,3039,2540,0,0,0,0,0,1,1,1
3534145,2010-02-18,8389,2546,0,2,0,0,0,1,1,0
1949146,2010-02-18,1803,1425,0,0,1,0,1,1,0,0
1268147,2010-02-19,6121,2540,0,0,0,0,0,1,1,1
4015148,2010-02-19,8867,4210,0,0,0,1,0,0,2,0
4848149,2010-02-19,4699,2488,2,0,1,0,0,0,1,0
1814150,2010-02-19,1664,830,0,0,0,1,0,0,0,2
1158151,2010-02-19,6007,4210,0,0,0,1,0,0,2,0
4605152,2010-02-20,4453,4164,0,0,1,0,0,0,2,0
962153,2010-02-20,5809,3666,0,0,0,4,0,0,1,0
4155154,2010-02-20,9001,1815,0,3,1,0,2,0,0,0
4973155,2010-02-21,4818,2500,6,0,0,0,0,0,1,0
2770156,2010-02-21,7614,3956,0,0,0,0,0,0,2,1
1868157,2010-02-21,6711,4323,0,0,0,0,1,0,2,0
105158,2010-02-21,4947,992,0,0,2,0,0,0,0,1
1775159,2010-02-22,6616,2841,0,0,1,0,1,0,1,0
546160,2010-02-22,5386,3123,3,0,0,0,0,2,1,0
4372161,2010-02-23,9211,2633,0,0,0,0,1,0,1,1
560162,2010-02-24,398,2385,2,3,0,0,0,0,1,0
4162163,2010-02-25,8999,943,0,0,0,0,1,0,0,2
3249164,2010-02-25,3085,1048,0,3,0,0,1,0,0,1
3679165,2010-02-25,8514,1006,3,3,1,0,0,0,0,0
2140166,2010-02-25,6974,2676,0,0,0,6,0,0,0,0
3086167,2010-02-25,7919,7720,0,0,0,0,0,0,4,1
1460168,2010-02-26,6292,2534,2,0,0,1,0,0,1,0
1993169,2010-02-26,1824,2657,3,0,0,0,0,1,1,0
4239170,2010-02-26,9069,2488,3,3,0,0,0,0,1,0
666171,2010-02-26,5495,2748,0,0,1,0,0,1,1,0
4685172,2010-02-26,9513,2500,6,0,0,0,0,0,1,0
2431173,2010-02-27,2258,4210,0,0,0,1,0,0,2,0
4334174,2010-02-27,9160,2814,0,0,0,0,0,2,1,0
3673175,2010-02-27,8498,2887,0,0,0,1,1,0,1,0
1168176,2010-02-27,5992,2520,0,0,0,1,0,0,1,1
967177,2010-02-27,790,1201,3,0,0,2,0,0,0,0
3421178,2010-02-28,8243,4323,0,0,0,0,1,0,2,0
3139179,2010-02-28,7960,2657,3,0,0,0,0,1,1,0
2823180,2010-03-01,2643,4061,0,3,0,0,0,0,2,0
2194181,2010-03-01,7013,3309,3,0,0,0,2,0,1,0
3982182,2010-03-01,3800,2639,0,2,0,0,1,0,1,0
1061183,2010-03-02,878,1266,0,0,2,0,0,1,0,0
2373184,2010-03-02,2189,992,0,0,2,0,0,0,0,1
1731185,2010-03-03,1546,2520,0,0,0,1,0,0,1,1
3101186,2010-03-03,2915,2625,0,3,0,1,0,0,1,0
1514187,2010-03-03,1327,1200,0,0,3,0,0,0,0,0
1467188,2010-03-05,6279,2728,0,0,1,1,0,0,1,0
3447189,2010-03-05,3258,1266,0,0,2,0,0,1,0,0
3187190,2010-03-05,7997,1584,0,0,0,0,2,1,0,0
4921191,2010-03-05,9730,2728,0,0,1,1,0,0,1,0
306192,2010-03-06,114,1984,0,0,1,0,2,1,0,0
1903193,2010-03-06,6710,2534,2,0,0,1,0,0,1,0
936194,2010-03-07,742,3083,3,0,0,2,0,0,1,0
1491195,2010-03-08,6296,576,0,0,0,0,0,0,0,3
1978196,2010-03-08,6782,2637,3,0,0,1,0,0,1,0
2684197,2010-03-09,7487,3970,2,0,0,0,0,0,2,0
4378198,2010-03-09,4180,5646,0,0,0,0,0,0,3,0
1397199,2010-03-09,6198,2371,0,3,0,0,0,0,1,1
4993200,2010-03-10,4793,2540,0,0,0,0,0,1,1,1
3568201,2010-03-10,3367,1491,0,0,0,0,1,2,0,0
233202,2010-03-10,31,2682,0,0,2,0,0,0,1,0
3502203,2010-03-10,8299,2534,2,0,0,1,0,0,1,0
4071204,2010-03-11,3867,1246,0,0,2,1,0,0,0,0
3431205,2010-03-11,8226,2728,0,0,1,1,0,0,1,0
2017206,2010-03-11,6811,971,4,0,0,0,1,0,0,0
1794207,2010-03-12,1587,4230,0,0,0,0,0,1,2,0
682208,2010-03-12,5474,2794,0,0,0,1,0,1,1,0
1234209,2010-03-12,6025,4073,3,0,0,0,0,0,2,0
4304210,2010-03-12,4094,2728,0,0,1,1,0,0,1,0
2087211,2010-03-13,6876,2639,0,2,0,0,1,0,1,0
1115212,2010-03-13,5903,1496,4,0,0,2,0,0,0,1
4272213,2010-03-13,9059,5646,0,0,0,0,0,0,3,0
3340214,2010-03-13,3126,1097,0,3,2,0,0,0,0,0
1793215,2010-03-15,6578,2841,0,0,1,0,1,0,1,0
675216,2010-03-15,5459,1217,0,0,0,0,1,1,0,1
2080217,2010-03-15,6863,901,3,0,1,0,0,0,0,1
265218,2010-03-16,47,2488,2,0,1,0,0,0,1,0
2949219,2010-03-16,2730,963,2,2,0,0,1,0,0,0
673220,2010-03-16,453,2546,0,2,0,0,0,1,1,0
1500221,2010-03-16,6279,1058,0,0,1,0,0,1,0,1
2670222,2010-03-16,2448,992,0,0,2,0,0,0,0,1
4088223,2010-03-16,8865,1241,3,0,0,0,0,2,0,0
3854224,2010-03-17,8630,2702,0,0,0,0,4,1,0,0
2743225,2010-03-17,7518,1124,0,0,0,0,0,2,0,1
3781226,2010-03-17,3555,2383,3,0,0,0,0,0,1,1
954227,2010-03-17,727,2748,0,0,1,0,0,1,1,0
2539228,2010-03-18,7311,1564,0,0,0,1,2,0,0,0
2110229,2010-03-18,1881,2728,0,0,1,1,0,0,1,0
2747230,2010-03-19,2517,4230,0,0,0,0,0,1,2,0
1345231,2010-03-19,6114,864,2,0,0,0,0,1,0,1
1559232,2010-03-20,1327,1084,6,0,0,0,0,1,0,0
623233,2010-03-20,390,2647,2,0,0,0,1,0,1,0
3022234,2010-03-20,7788,1151,0,0,1,0,1,0,0,1
2325235,2010-03-20,7090,3956,0,0,0,0,0,0,2,1
873236,2010-03-20,5637,4061,0,3,0,0,0,0,2,0
2221237,2010-03-21,6984,3956,0,0,0,0,0,0,2,1
712238,2010-03-21,5474,1405,0,0,1,1,1,0,0,0
4408239,2010-03-21,9169,4323,0,0,0,0,1,0,2,0
1699240,2010-03-21,1459,1109,3,0,2,0,0,0,0,0
4380241,2010-03-21,9139,2579,0,3,1,0,0,0,1,0
1141242,2010-03-22,5899,1241,3,0,0,0,0,2,0,0
